<MOH id = 0 >	8 Tsi Thotiriwaié:ri Ne Corinthians 
<MOH id = 11 >	
<MOH id = 12 >	****** Result for Image/Page 22 ******
<MOH id = 13 >	22 
<MOH id = 14 >	2 CORINTHIANS 8 
<MOH id = 15 >	entsesaié:nawa'se'. Eh thó:ne akwé:kon sha'teniá:wen'ne'. Kwah tsi niwá:ton ne owennatokénhti, "Ónhka ne wé:so iakotaterohró:ki iah thé:nen thia'tetsotatén:ron. Ónhka ne ken' nikón:ha iakorò:ron kwah nè:'e ia'tehotiieríhse'." 
<MOH id = 16 >	
<MOH id = 17 >	Titus Tánon' ne Rontenro'shòn:'a 
<MOH id = 18 >	
<MOH id = 19 >	
<MOH id = 20 >	Kwah í:ken tsi tekatenonhwerá:tons ne Rawenní:io tsi iahò:reke' ne Titus ne tho ní:ioht tsi tahtshisewarihwáhsnie'se' tsi nì:'i ní:ioht. Sahshakwa'né:ken' ne Titus ne iahtshisewanatahré:na'se', taharihwáhsnie'ne'. Kwah í:ken tsi rahská:nekskwe' sótsi ehtshisewakweniénhsthahkwe'. Shaià:ta ò:ni' iahshakwaténniehte' ne atate'kèn:sera', nè:'e ne kwah è:neken tsi ronwarihwakweniénhstha' ne tiakawehtáhkwen ò:ni' ronwaienté:ri tsi nihoio'tenhserò:ten' tsi rateriwahnótha' ne karihwí:io's. Thiká:te' ò:ni', kí:ken rón:kwe nè:'e ne tsi niiá:kon tiakawehtáhkwen né: ronwaia'tarákwen ne aiakwatenrò:shen tsi nieniakwáhawe' ne kahwistanó:ron, ne aorihwà:ke ne Roiá:ner raoia'tateríhtshera' ne ò:ni' aontè:nehste' tsi niiakwahská:neks ne aiakwatahsnié:nen'. Iah tha'teionkwatonhontsó:ni nónhka aierihwakà:tate' tsi ní:ioht tsi iakwátstha' ne sewakweniáhtshera'. Ne teionkwatonhontsó:ni ne Roiá:ner aontahshakwa'nikonhraié:rite', ò:ni' nahò:ten' ne tionkwe'taié:ris í:ienhre' tkarihwaié:ri. Shé:kon ò:ni' thihá:te' ienhshakwatenniéhten' ne Titus ahontenrò:shen ne ronatén:ro. Shakwaniahé:sen kí:ken rón:kwe. Asé'ken ó:nen wé:so iorì:wake rawe'néhston tsi tehotonhontsó:ni ne ahatahsnié:nen'. Ó:nen ki' kwah sénha 
<MOH id = 21 >	
<MOH id = 22 >	
<MOH id = 23 >	****** Result for Image/Page 23 ******
<MOH id = 24 >	23 
<MOH id = 25 >	2 CORINTHIANS 8, 9 
<MOH id = 26 >	ísi' nón: tsi nikahská:neks, ne karihón:nis sótsi raónha sénha ehtshisewaniahé:sen. Titus se' teionkeniienawà:kon, ne ionkeniió'te' ne takwarihwáhsnie'se'. Ne ó:ia' tehniiáhse' atate'kèn:sera' ne skátne wahón:ne', ne nen' nè:'e ne tiakawehtáhkwen ronwanatatià:se', ne ahonwahsennakará:tate' ne Kerístos. Taietshiiateweien'tón:hahs ne tiakawehtáhkwen ne tsi ahontkáhtho' ne sewanoronhkhwáhtshera', ò:ni' enhonaterièn:tara'ne' oh nontié:ren tsi tió:konte' í:se' kwathrorià:ton.
